min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,2,salience_times_contention,0.8,Community Infrastructure,0.1,0.48822009582578846,0.12274078419909168,0.022740784199091674
2,2,salience_only,0.0,NPV,0.25,0.022806237209388076,0.25,0.0
2,2,salience_only,0.0,IRR,0.2,0.010919729436715882,0.2,0.0
2,2,salience_only,0.0,Geological Feasibility,0.15,0.03532951759652709,0.15,0.0
2,2,salience_only,0.0,Market Stability,0.15,0.01712766643927801,0.15,0.0
2,2,salience_only,0.0,Local Employment,0.15,0.6835748683516581,0.15,0.0
2,2,salience_only,0.0,Community Infrastructure,0.1,0.5050546741001335,0.1,0.0
2,2,salience_only,0.1,NPV,0.25,0.022806237209388076,0.24641084484337383,-0.003589155156626167
2,2,salience_only,0.1,IRR,0.2,0.010919729436715882,0.1968948918941905,-0.003105108105809523
2,2,salience_only,0.1,Geological Feasibility,0.15,0.03532951759652709,0.14803123793009315,-0.001968762069906843
2,2,salience_only,0.1,Market Stability,0.15,0.01712766643927801,0.14776274225641323,-0.002237257743586768
2,2,salience_only,0.1,Local Employment,0.15,0.6835748683516581,0.15759351105589797,0.007593511055897978
2,2,salience_only,0.1,Community Infrastructure,0.1,0.5050546741001335,0.10330677202003138,0.003306772020031379
2,2,salience_only,0.3,NPV,0.25,0.022806237209388076,0.2395785150614852,-0.010421484938514802
2,2,salience_only,0.3,IRR,0.2,0.010919729436715882,0.19098399596980012,-0.009016004030199892
2,2,salience_only,0.3,Geological Feasibility,0.15,0.03532951759652709,0.14428349476027108,-0.005716505239728914
2,2,salience_only,0.3,Market Stability,0.15,0.01712766643927801,0.14350388967294414,-0.006496110327055854
2,2,salience_only,0.3,Local Employment,0.15,0.6835748683516581,0.17204854837590092,0.022048548375900923
2,2,salience_only,0.3,Community Infrastructure,0.1,0.5050546741001335,0.1096015561595986,0.009601556159598595
2,2,salience_only,0.5,NPV,0.25,0.022806237209388076,0.23317158944102875,-0.016828410558971246
2,2,salience_only,0.5,IRR,0.2,0.010919729436715882,0.18544113259130557,-0.014558867408694443
2,2,salience_only,0.5,Geological Feasibility,0.15,0.03532951759652709,0.14076909886602218,-0.009230901133977815
2,2,salience_only,0.5,Market Stability,0.15,0.01712766643927801,0.1395102077808454,-0.010489792219154581
2,2,salience_only,0.5,Local Employment,0.15,0.6835748683516581,0.18560356575748,0.03560356575748
2,2,salience_only,0.5,Community Infrastructure,0.1,0.5050546741001335,0.11550440556331808,0.015504405563318072
2,2,salience_only,0.8,NPV,0.25,0.022806237209388076,0.22427580042539202,-0.025724199574607975
2,2,salience_only,0.8,IRR,0.2,0.010919729436715882,0.17774506335645246,-0.02225493664354755
2,2,salience_only,0.8,Geological Feasibility,0.15,0.03532951759652709,0.13588948479763996,-0.014110515202360036
2,2,salience_only,0.8,Market Stability,0.15,0.01712766643927801,0.13396512210133538,-0.016034877898664618
2,2,salience_only,0.8,Local Employment,0.15,0.6835748683516581,0.2044242266911441,0.054424226691144106
2,2,salience_only,0.8,Community Infrastructure,0.1,0.5050546741001335,0.1237003026280361,0.023700302628036088
3,2,salience_times_contention,0.0,NPV,0.25,0.008233723504834024,0.25,0.0
3,2,salience_times_contention,0.0,IRR,0.2,0.008583597793325758,0.2,0.0
3,2,salience_times_contention,0.0,Geological Feasibility,0.15,0.033158144958326745,0.15,0.0
3,2,salience_times_contention,0.0,Market Stability,0.15,0.012112336438254625,0.15,0.0
3,2,salience_times_contention,0.0,Local Employment,0.15,0.605738736139635,0.15,0.0
3,2,salience_times_contention,0.0,Community Infrastructure,0.1,0.2670069001973839,0.1,0.0
3,2,salience_times_contention,0.1,NPV,0.25,0.008233723504834024,0.24704058072782356,-0.002959419272176439
